province_territory,claim_office_type,total_flag,year_month,year,month,value
Alberta,Border,False,2015-10,2015,10,10
British Columbia,Border,False,2015-10,2015,10,15
Yukon,Border,False,2015-10,2015,10,0
,Border - Total,True,2015-10,2015,10,480
Newfoundland and Labrador,Inland,False,2015-10,2015,10,0
Prince Edward Island,Inland,False,2015-10,2015,10,0
Nova Scotia,Inland,False,2015-10,2015,10,10
New Brunswick,Inland,False,2015-10,2015,10,0
Quebec,Inland,False,2015-10,2015,10,150
Ontario,Inland,False,2015-10,2015,10,505
Manitoba,Inland,False,2015-10,2015,10,2
Saskatchewan,Inland,False,2015-10,2015,10,2
Alberta,Inland,False,2015-10,2015,10,70
British Columbia,Inland,False,2015-10,2015,10,65
Yukon,Inland,False,2015-10,2015,10,0
Northwest Territories,Inland,False,2015-10,2015,10,0
Nunavut,Inland,False,2015-10,2015,10,0
Province/Territory of claim not stated,Inland,False,2015-10,2015,10,0
,Inland - Total,True,2015-10,2015,10,805
,Other Offices,False,2015-10,2015,10,0
,Total ,True,2015-10,2015,10,1465
Newfoundland and Labrador,Airport,False,2015-11,2015,11,0
Nova Scotia,Airport,False,2015-11,2015,11,0
New Brunswick,Airport,False,2015-11,2015,11,0
Quebec,Airport,False,2015-11,2015,11,35
Ontario,Airport,False,2015-11,2015,11,215
Manitoba,Airport,False,2015-11,2015,11,0
Saskatchewan,Airport,False,2015-11,2015,11,2
Alberta,Airport,False,2015-11,2015,11,2
British Columbia,Airport,False,2015-11,2015,11,2
Nunavut,Airport,False,2015-11,2015,11,0
,Airport - Total,True,2015-11,2015,11,260
Newfoundland and Labrador,Border,False,2015-11,2015,11,0
Nova Scotia,Border,False,2015-11,2015,11,0
New Brunswick,Border,False,2015-11,2015,11,0
Quebec,Border,False,2015-11,2015,11,90
Ontario,Border,False,2015-11,2015,11,230
Manitoba,Border,False,2015-11,2015,11,40
Saskatchewan,Border,False,2015-11,2015,11,0
Alberta,Border,False,2015-11,2015,11,5
British Columbia,Border,False,2015-11,2015,11,15
Yukon,Border,False,2015-11,2015,11,0
,Border - Total,True,2015-11,2015,11,380
Newfoundland and Labrador,Inland,False,2015-11,2015,11,0
Prince Edward Island,Inland,False,2015-11,2015,11,0
Nova Scotia,Inland,False,2015-11,2015,11,2
New Brunswick,Inland,False,2015-11,2015,11,0
Quebec,Inland,False,2015-11,2015,11,180
Ontario,Inland,False,2015-11,2015,11,645
Manitoba,Inland,False,2015-11,2015,11,5
Saskatchewan,Inland,False,2015-11,2015,11,2
Alberta,Inland,False,2015-11,2015,11,45
British Columbia,Inland,False,2015-11,2015,11,60
Yukon,Inland,False,2015-11,2015,11,0
Northwest Territories,Inland,False,2015-11,2015,11,0
Nunavut,Inland,False,2015-11,2015,11,0
Province/Territory of claim not stated,Inland,False,2015-11,2015,11,0
,Inland - Total,True,2015-11,2015,11,945
,Other Offices,False,2015-11,2015,11,2
,Total ,True,2015-11,2015,11,1590
Newfoundland and Labrador,Airport,False,2015-12,2015,12,2
Nova Scotia,Airport,False,2015-12,2015,12,0
New Brunswick,Airport,False,2015-12,2015,12,0
Quebec,Airport,False,2015-12,2015,12,35
Ontario,Airport,False,2015-12,2015,12,225
Manitoba,Airport,False,2015-12,2015,12,2
Saskatchewan,Airport,False,2015-12,2015,12,0
Alberta,Airport,False,2015-12,2015,12,5
British Columbia,Airport,False,2015-12,2015,12,5
Nunavut,Airport,False,2015-12,2015,12,0
,Airport - Total,True,2015-12,2015,12,270
Newfoundland and Labrador,Border,False,2015-12,2015,12,0
Nova Scotia,Border,False,2015-12,2015,12,0
New Brunswick,Border,False,2015-12,2015,12,2
Quebec,Border,False,2015-12,2015,12,100
Ontario,Border,False,2015-12,2015,12,310
Manitoba,Border,False,2015-12,2015,12,25
Saskatchewan,Border,False,2015-12,2015,12,0
Alberta,Border,False,2015-12,2015,12,10
British Columbia,Border,False,2015-12,2015,12,25
Yukon,Border,False,2015-12,2015,12,0
,Border - Total,True,2015-12,2015,12,470
Newfoundland and Labrador,Inland,False,2015-12,2015,12,5
Prince Edward Island,Inland,False,2015-12,2015,12,0
Nova Scotia,Inland,False,2015-12,2015,12,2
New Brunswick,Inland,False,2015-12,2015,12,0
Quebec,Inland,False,2015-12,2015,12,145
Ontario,Inland,False,2015-12,2015,12,590
Manitoba,Inland,False,2015-12,2015,12,15
Saskatchewan,Inland,False,2015-12,2015,12,5
Alberta,Inland,False,2015-12,2015,12,55
British Columbia,Inland,False,2015-12,2015,12,60
Yukon,Inland,False,2015-12,2015,12,0
Northwest Territories,Inland,False,2015-12,2015,12,0
Nunavut,Inland,False,2015-12,2015,12,0
Province/Territory of claim not stated,Inland,False,2015-12,2015,12,0
,Inland - Total,True,2015-12,2015,12,880
,Other Offices,False,2015-12,2015,12,0
,Total ,True,2015-12,2015,12,1620
Newfoundland and Labrador,Airport,False,2016-01,2016,1,0
Nova Scotia,Airport,False,2016-01,2016,1,0
New Brunswick,Airport,False,2016-01,2016,1,0
Quebec,Airport,False,2016-01,2016,1,35
Ontario,Airport,False,2016-01,2016,1,215
Manitoba,Airport,False,2016-01,2016,1,0
Saskatchewan,Airport,False,2016-01,2016,1,0
Alberta,Airport,False,2016-01,2016,1,2
British Columbia,Airport,False,2016-01,2016,1,5
