province_territory,category_1,category_2,total_flag,year,value
Manitoba,Live-In Caregivers,,True,2002,115
Manitoba,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,
Manitoba,Agricultural Workers,Agricultural Stream,False,2002,0
Manitoba,Agricultural Workers,Other Agricultural Workers,False,2002,40
Manitoba,Agricultural Workers,,True,2002,40
Manitoba,Other Temporary Foreign Workers with LMIA,,False,2002,810
Manitoba,Caregivers,,False,2002,0
Manitoba,,,True,2002,960
Saskatchewan,Live-In Caregivers,Live-In Caregiver Program,False,2002,65
Saskatchewan,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,15
Saskatchewan,Live-In Caregivers,,True,2002,85
Saskatchewan,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,0
Saskatchewan,Agricultural Workers,Agricultural Stream,False,2002,0
Saskatchewan,Agricultural Workers,Other Agricultural Workers,False,2002,55
Saskatchewan,Agricultural Workers,,True,2002,55
Saskatchewan,Other Temporary Foreign Workers with LMIA,,False,2002,535
Saskatchewan,Caregivers,,False,2002,0
Saskatchewan,,,True,2002,675
Alberta,Live-In Caregivers,Live-In Caregiver Program,False,2002,"1,355"
Alberta,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,185
Alberta,Live-In Caregivers,,True,2002,"1,545"
Alberta,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,0
Alberta,Agricultural Workers,Agricultural Stream,False,2002,0
Alberta,Agricultural Workers,Other Agricultural Workers,False,2002,65
Alberta,Agricultural Workers,,True,2002,65
Alberta,Other Temporary Foreign Workers with LMIA,,False,2002,"2,575"
Alberta,Caregivers,,False,2002,0
Alberta,,,True,2002,"4,190"
British Columbia,Live-In Caregivers,Live-In Caregiver Program,False,2002,"2,025"
British Columbia,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,405
British Columbia,Live-In Caregivers,,True,2002,"2,430"
British Columbia,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,0
British Columbia,Agricultural Workers,Agricultural Stream,False,2002,0
British Columbia,Agricultural Workers,Other Agricultural Workers,False,2002,20
British Columbia,Agricultural Workers,,True,2002,20
British Columbia,Other Temporary Foreign Workers with LMIA,,False,2002,"3,295"
British Columbia,Caregivers,,False,2002,0
